territory,base,target30off,chosenPrice,discountPct,pricePointId
AFG,11.99,8.393,8.39,30.0,eyJzIjoiNjc2MjMxNzc3NyIsInQiOiJBRkciLCJwIjoiMTAxMDYifQ
AGO,22.99,16.093,16.0,30.4,eyJzIjoiNjc2MjMxNzc3NyIsInQiOiJBR08iLCJwIjoiMTAxNTgifQ
AIA,35.99,25.193,25.0,30.5,eyJzIjoiNjc2MjMxNzc3NyIsInQiOiJBSUEiLCJwIjoiMTAyMDMifQ
ALB,29.99,20.993,20.99,30.0,eyJzIjoiNjc2MjMxNzc3NyIsInQiOiJBTEIiLCJwIjoiMTAxODIifQ
ARE,299.99,209.993,209.99,30.0,eyJzIjoiNjc2MjMxNzc3NyIsInQiOiJBUkUiLCJwIjoiMTA0MDUifQ
ARG,35.99,25.193,25.0,30.5,eyJzIjoiNjc2MjMxNzc3NyIsInQiOiJBUkciLCJwIjoiMTAyMDMifQ
ARM,59.99,41.993,41.99,30.0,eyJzIjoiNjc2MjMxNzc3NyIsInQiOiJBUk0iLCJwIjoiMTAyODcifQ
ATG,35.99,25.193,25.0,30.5,eyJzIjoiNjc2MjMxNzc3NyIsInQiOiJBVEciLCJwIjoiMTAyMDMifQ
AUS,149.99,104.993,104.99,30.0,eyJzIjoiNjc2MjMxNzc3NyIsInQiOiJBVVMiLCJwIjoiMTA1MzIifQ
AUT,99.99,69.993,69.99,30.0,eyJzIjoiNjc2MjMxNzc3NyIsInQiOiJBVVQiLCJwIjoiMTAzODcifQ
AZE,59.99,41.993,41.99,30.0,eyJzIjoiNjc2MjMxNzc3NyIsInQiOiJBWkUiLCJwIjoiMTAyODcifQ
BEL,99.99,69.993,69.99,30.0,eyJzIjoiNjc2MjMxNzc3NyIsInQiOiJCRUwiLCJwIjoiMTAzODcifQ
BEN,17.99,12.593,12.49,30.6,eyJzIjoiNjc2MjMxNzc3NyIsInQiOiJCRU4iLCJwIjoiMTAxMzkifQ
BFA,11.99,8.393,8.39,30.0,eyJzIjoiNjc2MjMxNzc3NyIsInQiOiJCRkEiLCJwIjoiMTAxMDYifQ
BGR,59.99,41.993,41.99,30.0,eyJzIjoiNjc2MjMxNzc3NyIsInQiOiJCR1IiLCJwIjoiMTAyODcifQ
BHR,69.99,48.993,48.99,30.0,eyJzIjoiNjc2MjMxNzc3NyIsInQiOiJCSFIiLCJwIjoiMTAzMjIifQ
BHS,49.99,34.993,34.99,30.0,eyJzIjoiNjc2MjMxNzc3NyIsInQiOiJCSFMiLCJwIjoiMTAyNTIifQ
BIH,39.99,27.993,27.99,30.0,eyJzIjoiNjc2MjMxNzc3NyIsInQiOiJCSUgiLCJwIjoiMTAyMTcifQ
BLR,39.99,27.993,27.99,30.0,eyJzIjoiNjc2MjMxNzc3NyIsInQiOiJCTFIiLCJwIjoiMTAyMTcifQ
BLZ,11.99,8.393,8.39,30.0,eyJzIjoiNjc2MjMxNzc3NyIsInQiOiJCTFoiLCJwIjoiMTAxMDYifQ
BMU,35.99,25.193,25.0,30.5,eyJzIjoiNjc2MjMxNzc3NyIsInQiOiJCTVUiLCJwIjoiMTAyMDMifQ
BOL,22.99,16.093,16.0,30.4,eyJzIjoiNjc2MjMxNzc3NyIsInQiOiJCT0wiLCJwIjoiMTAxNTgifQ
BRA,229.9,160.93,160.9,30.0,eyJzIjoiNjc2MjMxNzc3NyIsInQiOiJCUkEiLCJwIjoiMTAzNDIifQ
BRB,59.99,41.993,41.99,30.0,eyJzIjoiNjc2MjMxNzc3NyIsInQiOiJCUkIiLCJwIjoiMTAyODcifQ
BRN,67.99,47.593,47.49,30.2,eyJzIjoiNjc2MjMxNzc3NyIsInQiOiJCUk4iLCJwIjoiMTAzMTQifQ
BTN,14.99,10.493,10.49,30.0,eyJzIjoiNjc2MjMxNzc3NyIsInQiOiJCVE4iLCJwIjoiMTAxMjkifQ
BWA,35.99,25.193,25.0,30.5,eyJzIjoiNjc2MjMxNzc3NyIsInQiOiJCV0EiLCJwIjoiMTAyMDMifQ
CAN,99.99,69.993,69.99,30.0,eyJzIjoiNjc2MjMxNzc3NyIsInQiOiJDQU4iLCJwIjoiMTAzODcifQ
CHE,90.0,63.0,63.0,30.0,eyJzIjoiNjc2MjMxNzc3NyIsInQiOiJDSEUiLCJwIjoiMTAzMDcifQ
CHL,59990.0,41993.0,41990.0,30.0,eyJzIjoiNjc2MjMxNzc3NyIsInQiOiJDSEwiLCJwIjoiMTAzNzUifQ
CHN,328.0,229.6,230.0,29.9,eyJzIjoiNjc2MjMxNzc3NyIsInQiOiJDSE4iLCJwIjoiMTAzMzEifQ
CIV,17.99,12.593,12.49,30.6,eyJzIjoiNjc2MjMxNzc3NyIsInQiOiJDSVYiLCJwIjoiMTAxMzkifQ
CMR,17.99,12.593,12.49,30.6,eyJzIjoiNjc2MjMxNzc3NyIsInQiOiJDTVIiLCJwIjoiMTAxMzkifQ
COD,11.99,8.393,8.39,30.0,eyJzIjoiNjc2MjMxNzc3NyIsInQiOiJDT0QiLCJwIjoiMTAxMDYifQ
COG,35.99,25.193,25.0,30.5,eyJzIjoiNjc2MjMxNzc3NyIsInQiOiJDT0ciLCJwIjoiMTAyMDMifQ
COL,179900.0,125930.0,125900.0,30.0,eyJzIjoiNjc2MjMxNzc3NyIsInQiOiJDT0wiLCJwIjoiMTAyOTIifQ
CPV,22.99,16.093,16.0,30.4,eyJzIjoiNjc2MjMxNzc3NyIsInQiOiJDUFYiLCJwIjoiMTAxNTgifQ
CRI,49.99,34.993,34.99,30.0,eyJzIjoiNjc2MjMxNzc3NyIsInQiOiJDUkkiLCJwIjoiMTAyNTIifQ
